10.0.2.2 - - [05/Dec/2022:11:57:18 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:11:57:21 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:12:56:28 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:12:56:31 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:12:57:48 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:12:57:51 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:12:58:04 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:12:58:07 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:13:57:06 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:13:57:08 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:13:58:20 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:13:58:22 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:13:59:05 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [05/Dec/2022:13:59:08 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [06/Dec/2022:19:22:22 +0000] "GET / HTTP/1.1" 403 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
10.0.2.2 - - [06/Dec/2022:19:22:22 +0000] "GET /favicon.ico HTTP/1.1" 404 199 "https://127.0.0.1/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
10.0.2.2 - - [06/Dec/2022:19:29:33 +0000] "GET / HTTP/1.1" 403 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
10.0.2.2 - - [06/Dec/2022:19:29:33 +0000] "GET /favicon.ico HTTP/1.1" 404 199 "https://127.0.0.1/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
10.0.2.2 - - [06/Dec/2022:19:29:34 +0000] "GET / HTTP/1.1" 403 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
10.0.2.2 - - [06/Dec/2022:19:29:34 +0000] "GET /favicon.ico HTTP/1.1" 404 199 "https://127.0.0.1/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
10.0.2.2 - - [06/Dec/2022:19:29:42 +0000] "GET /worpress HTTP/1.1" 404 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
